id,location_name,area_name,place_type,latitude,longitude,crime_risk,lighting_level,crowd_density,traffic_level,police_presence,risk_score,risk_level,data_status
1,Rajapeth - Safety Point 1,Rajapeth,residential_area,20.923215,77.755232,74.75,50.22,57.79,61.09,78.18,57.91,Medium,SYNTHETIC_DEMO_ONLY
2,City Kotwali - Safety Point 2,City Kotwali,market_area,20.930035,77.752912,89.31,86.15,70.2,26.32,51.48,58.93,Medium,SYNTHETIC_DEMO_ONLY
3,Gadge Nagar - Safety Point 3,Gadge Nagar,commercial_area,20.944138,77.767449,23.47,44.26,41.77,20.27,34.97,38.58,Medium,SYNTHETIC_DEMO_ONLY
4,Frezarpura - Safety Point 4,Frezarpura,road_junction,20.931827,77.776938,19.34,61.92,85.97,64.93,90.01,36.24,Medium,SYNTHETIC_DEMO_ONLY
5,Dastur Nagar - Safety Point 5,Dastur Nagar,public_place,20.904497,77.767837,27.25,63.56,92.87,33.85,77.49,38.88,Medium,SYNTHETIC_DEMO_ONLY
6,Gokul Market - Safety Point 6,Gokul Market,transport_area,20.9304,77.768564,47.94,85.92,29.21,45.5,67.0,35.87,Medium,SYNTHETIC_DEMO_ONLY
7,Jawahar Road - Safety Point 7,Jawahar Road,college_area,20.930296,77.747009,23.04,50.55,37.42,31.54,87.07,29.81,Low,SYNTHETIC_DEMO_ONLY
8,Camp Area - Safety Point 8,Camp Area,park_area,20.919816,77.770494,80.11,72.31,51.21,47.92,73.95,53.96,Medium,SYNTHETIC_DEMO_ONLY
9,Saturna - Safety Point 9,Saturna,residential_area,20.915306,77.759255,41.31,29.39,21.44,67.97,82.96,43.22,Medium,SYNTHETIC_DEMO_ONLY
10,Parmal Layout - Safety Point 10,Parmal Layout,market_area,20.92037,77.758394,63.54,37.54,30.36,19.61,38.4,53.66,Medium,SYNTHETIC_DEMO_ONLY
11,Pushpak Colony - Safety Point 11,Pushpak Colony,commercial_area,20.913905,77.751263,53.04,90.96,45.51,68.87,42.44,45.37,Medium,SYNTHETIC_DEMO_ONLY
12,Rana Nagar - Safety Point 12,Rana Nagar,road_junction,20.938777,77.781382,54.8,76.73,74.75,44.81,52.61,49.38,Medium,SYNTHETIC_DEMO_ONLY
13,Mahajanpura - Safety Point 13,Mahajanpura,public_place,20.935669,77.750075,21.97,36.86,73.04,55.98,55.12,44.7,Medium,SYNTHETIC_DEMO_ONLY
14,Prabhat Colony - Safety Point 14,Prabhat Colony,transport_area,20.929624,77.765214,79.44,47.26,70.43,23.18,88.98,56.86,Medium,SYNTHETIC_DEMO_ONLY
15,Krishnarpan Colony - Safety Point 15,Krishnarpan Colony,college_area,20.924853,77.756517,51.27,91.77,39.99,25.57,67.51,35.58,Medium,SYNTHETIC_DEMO_ONLY
16,New Ganesh Colony - Safety Point 16,New Ganesh Colony,park_area,20.925211,77.75734,59.93,34.46,70.88,32.12,88.37,52.67,Medium,SYNTHETIC_DEMO_ONLY
17,Javad Nagar - Safety Point 17,Javad Nagar,residential_area,20.928204,77.785492,23.72,76.43,51.68,89.24,66.59,35.89,Medium,SYNTHETIC_DEMO_ONLY
18,Walgaon Road - Safety Point 18,Walgaon Road,market_area,20.917236,77.792702,64.21,85.57,61.17,54.99,89.35,44.84,Medium,SYNTHETIC_DEMO_ONLY
19,Badnera Road - Safety Point 19,Badnera Road,commercial_area,20.90201,77.775271,80.16,45.97,46.66,92.05,47.59,66.94,High,SYNTHETIC_DEMO_ONLY
20,Rahatgaon - Safety Point 20,Rahatgaon,road_junction,20.950956,77.749482,77.56,41.63,78.94,40.63,39.68,67.65,High,SYNTHETIC_DEMO_ONLY
21,Transport Nagar - Safety Point 21,Transport Nagar,public_place,20.957451,77.755475,15.15,26.12,61.12,77.88,60.04,43.79,Medium,SYNTHETIC_DEMO_ONLY
22,Cotton Market - Safety Point 22,Cotton Market,transport_area,20.933636,77.746287,66.66,48.11,51.07,35.06,56.07,54.8,Medium,SYNTHETIC_DEMO_ONLY
23,Sarafa - Safety Point 23,Sarafa,college_area,20.92904,77.744963,74.34,89.06,33.46,78.29,72.36,48.92,Medium,SYNTHETIC_DEMO_ONLY
24,Maltekdi - Safety Point 24,Maltekdi,park_area,20.930593,77.768981,68.76,47.66,28.07,17.29,53.83,50.84,Medium,SYNTHETIC_DEMO_ONLY
25,Wadali - Safety Point 25,Wadali,residential_area,20.925714,77.796979,24.38,43.54,78.18,25.17,41.48,44.07,Medium,SYNTHETIC_DEMO_ONLY
26,Rahatgaon Road - Safety Point 26,Rahatgaon Road,market_area,20.947825,77.748154,18.07,82.88,54.2,68.48,36.71,35.12,Medium,SYNTHETIC_DEMO_ONLY
27,MIDC Area - Safety Point 27,MIDC Area,commercial_area,20.912798,77.803703,60.4,40.95,38.76,40.12,57.79,52.13,Medium,SYNTHETIC_DEMO_ONLY
28,Chandur Road Area - Safety Point 28,Chandur Road Area,road_junction,20.901198,77.74053,60.72,82.97,59.64,31.13,87.39,41.64,Medium,SYNTHETIC_DEMO_ONLY
29,Paranjape Nagar - Safety Point 29,Paranjape Nagar,public_place,20.935191,77.749629,42.91,85.66,31.4,67.92,68.63,36.24,Medium,SYNTHETIC_DEMO_ONLY
30,Panchsheel Nagar - Safety Point 30,Panchsheel Nagar,transport_area,20.944923,77.750152,38.11,41.76,55.6,27.4,85.38,40.16,Medium,SYNTHETIC_DEMO_ONLY
31,Rajapeth - Safety Point 31,Rajapeth,college_area,20.926246,77.756034,49.3,69.23,67.21,35.05,36.24,49.02,Medium,SYNTHETIC_DEMO_ONLY
32,City Kotwali - Safety Point 32,City Kotwali,park_area,20.931593,77.7562,87.88,74.72,70.61,51.58,72.71,60.05,Medium,SYNTHETIC_DEMO_ONLY
33,Gadge Nagar - Safety Point 33,Gadge Nagar,residential_area,20.944593,77.754693,39.48,88.22,33.37,53.29,45.54,36.65,Medium,SYNTHETIC_DEMO_ONLY
34,Frezarpura - Safety Point 34,Frezarpura,market_area,20.932466,77.777713,53.07,52.85,20.31,62.7,74.1,43.86,Medium,SYNTHETIC_DEMO_ONLY
35,Dastur Nagar - Safety Point 35,Dastur Nagar,commercial_area,20.90701,77.770132,87.68,77.34,68.71,85.89,43.69,66.95,High,SYNTHETIC_DEMO_ONLY
36,Gokul Market - Safety Point 36,Gokul Market,road_junction,20.934056,77.758637,48.55,64.7,43.85,73.23,66.93,45.34,Medium,SYNTHETIC_DEMO_ONLY
37,Jawahar Road - Safety Point 37,Jawahar Road,public_place,20.932425,77.75338,44.16,30.28,53.65,34.51,31.55,53.37,Medium,SYNTHETIC_DEMO_ONLY
38,Camp Area - Safety Point 38,Camp Area,transport_area,20.925213,77.770679,89.13,94.21,35.7,76.93,85.38,52.05,Medium,SYNTHETIC_DEMO_ONLY
39,Saturna - Safety Point 39,Saturna,college_area,20.914205,77.758012,20.99,52.26,42.54,25.55,42.6,35.49,Medium,SYNTHETIC_DEMO_ONLY
40,Parmal Layout - Safety Point 40,Parmal Layout,park_area,20.921985,77.758386,15.75,30.25,93.13,77.34,67.83,46.78,Medium,SYNTHETIC_DEMO_ONLY
41,Pushpak Colony - Safety Point 41,Pushpak Colony,residential_area,20.911319,77.74819,60.95,30.67,39.94,89.3,88.37,54.91,Medium,SYNTHETIC_DEMO_ONLY
42,Rana Nagar - Safety Point 42,Rana Nagar,market_area,20.940842,77.782447,63.04,39.89,79.21,84.54,60.04,63.57,Medium,SYNTHETIC_DEMO_ONLY
43,Mahajanpura - Safety Point 43,Mahajanpura,commercial_area,20.929999,77.758397,30.18,62.17,68.07,37.5,37.43,42.98,Medium,SYNTHETIC_DEMO_ONLY
44,Prabhat Colony - Safety Point 44,Prabhat Colony,road_junction,20.932341,77.76056,62.74,66.4,50.84,69.35,59.78,52.41,Medium,SYNTHETIC_DEMO_ONLY
45,Krishnarpan Colony - Safety Point 45,Krishnarpan Colony,public_place,20.922679,77.763405,68.2,38.06,77.91,20.96,66.87,58.42,Medium,SYNTHETIC_DEMO_ONLY
46,New Ganesh Colony - Safety Point 46,New Ganesh Colony,transport_area,20.922008,77.757052,54.77,63.7,46.51,35.62,94.03,40.6,Medium,SYNTHETIC_DEMO_ONLY
47,Javad Nagar - Safety Point 47,Javad Nagar,college_area,20.924182,77.786072,72.81,61.82,29.21,81.23,39.63,58.32,Medium,SYNTHETIC_DEMO_ONLY
48,Walgaon Road - Safety Point 48,Walgaon Road,park_area,20.918026,77.795825,41.8,26.62,21.55,45.67,51.91,46.41,Medium,SYNTHETIC_DEMO_ONLY
49,Badnera Road - Safety Point 49,Badnera Road,residential_area,20.90006,77.776657,60.09,80.94,47.51,90.93,78.7,47.26,Medium,SYNTHETIC_DEMO_ONLY
50,Rahatgaon - Safety Point 50,Rahatgaon,market_area,20.951458,77.746725,55.58,42.46,82.36,64.43,71.82,56.76,Medium,SYNTHETIC_DEMO_ONLY
51,Transport Nagar - Safety Point 51,Transport Nagar,commercial_area,20.959994,77.756265,79.42,81.58,49.68,74.4,68.43,55.08,Medium,SYNTHETIC_DEMO_ONLY
52,Cotton Market - Safety Point 52,Cotton Market,road_junction,20.932926,77.746459,64.33,59.86,59.06,90.66,62.06,57.38,Medium,SYNTHETIC_DEMO_ONLY
53,Sarafa - Safety Point 53,Sarafa,public_place,20.93049,77.747512,84.94,59.65,94.17,32.07,87.86,61.2,Medium,SYNTHETIC_DEMO_ONLY
54,Maltekdi - Safety Point 54,Maltekdi,transport_area,20.931511,77.766336,67.26,88.67,88.65,42.45,83.96,49.12,Medium,SYNTHETIC_DEMO_ONLY
55,Wadali - Safety Point 55,Wadali,college_area,20.925918,77.801463,66.83,44.57,56.96,25.04,37.68,58.21,Medium,SYNTHETIC_DEMO_ONLY
