id,location_name,area_name,place_type,latitude,longitude,day_of_week,hour,crime_risk,lighting_level,crowd_density,traffic_level,police_presence,risk_score,risk_level,data_status
1,Rajapeth Area,Rajapeth,Market Area,20.929,77.752,BASELINE,-1,55.0,60.0,80.0,75.0,45.0,58.0,Medium,DEMO
2,Gadge Nagar Area,Gadge Nagar,Residential Area,20.941,77.765,BASELINE,-1,35.0,70.0,55.0,50.0,60.0,42.0,Medium,DEMO
3,Camp Area,Camp,Commercial Area,20.925,77.755,BASELINE,-1,48.0,55.0,75.0,70.0,50.0,55.0,Medium,DEMO
4,Badnera Road,Badnera Road,Main Road,20.91,77.735,BASELINE,-1,62.0,45.0,65.0,85.0,35.0,64.0,High,DEMO
5,University Area,University Area,Educational Area,20.945,77.77,BASELINE,-1,25.0,80.0,60.0,45.0,70.0,32.0,Low,DEMO
6,Bus Stand Area,Central Amravati,Transport Hub,20.933,77.7525,BASELINE,-1,70.0,50.0,95.0,90.0,40.0,70.0,High,DEMO
7,Railway Station Area,Amravati,Transport Hub,20.926,77.758,BASELINE,-1,65.0,55.0,90.0,85.0,45.0,66.0,High,DEMO
8,Shivaji Nagar,Shivaji Nagar,Residential Area,20.937,77.76,BASELINE,-1,30.0,72.0,50.0,45.0,65.0,38.0,Low,DEMO
9,Panchwati Square,Panchwati,Junction,20.918,77.75,BASELINE,-1,50.0,58.0,78.0,80.0,48.0,57.0,Medium,DEMO
10,Morshi Road,Morshi Road,Main Road,20.95,77.78,BASELINE,-1,45.0,62.0,65.0,70.0,55.0,50.0,Medium,DEMO
11,Rajapeth Area,Rajapeth,Market Area,20.928975,77.75072,Monday,8,57.13,53.76,92.57,92.35,33.29,65.33,High,SYNTHETIC_ML
12,Gadge Nagar Area,Gadge Nagar,Residential Area,20.941553,77.763562,Monday,13,41.16,74.67,55.53,59.02,62.81,39.08,Low,SYNTHETIC_ML
13,Camp Area,Camp,Commercial Area,20.925798,77.755548,Monday,18,54.15,54.7,80.19,73.8,57.34,56.76,Medium,SYNTHETIC_ML
14,Badnera Road,Badnera Road,Main Road,20.909829,77.73374,Monday,21,68.18,43.36,82.13,81.75,31.93,74.09,High,SYNTHETIC_ML
15,University Area,University Area,Educational Area,20.946307,77.770335,Tuesday,8,19.23,83.9,70.27,57.98,66.01,35.7,Low,SYNTHETIC_ML
16,Bus Stand Area,Central Amravati,Transport Hub,20.932294,77.751542,Tuesday,13,74.75,50.41,97.31,95.05,31.26,73.79,High,SYNTHETIC_ML
17,Railway Station Area,Amravati,Transport Hub,20.927067,77.75919,Tuesday,18,63.07,63.97,88.88,100.0,34.9,69.92,High,SYNTHETIC_ML
18,Shivaji Nagar,Shivaji Nagar,Residential Area,20.937214,77.761036,Tuesday,21,27.97,65.82,56.86,43.47,57.35,40.33,Medium,SYNTHETIC_ML
19,Panchwati Square,Panchwati,Junction,20.916206,77.75073,Wednesday,8,47.01,58.95,85.14,81.69,50.74,56.44,Medium,SYNTHETIC_ML
20,Morshi Road,Morshi Road,Main Road,20.949365,77.77988,Wednesday,13,41.71,62.07,68.85,73.57,58.99,50.17,Medium,SYNTHETIC_ML
21,Rajapeth Area,Rajapeth,Market Area,20.928466,77.753106,Wednesday,18,43.19,51.32,73.01,74.92,47.4,61.14,Medium,SYNTHETIC_ML
22,Gadge Nagar Area,Gadge Nagar,Residential Area,20.940109,77.762831,Wednesday,21,30.61,65.55,47.4,47.29,65.04,38.92,Low,SYNTHETIC_ML
23,Camp Area,Camp,Commercial Area,20.92533,77.757039,Thursday,8,48.5,51.82,79.37,77.72,59.61,58.01,Medium,SYNTHETIC_ML
24,Badnera Road,Badnera Road,Main Road,20.909415,77.732935,Thursday,13,67.85,47.14,76.71,75.49,31.16,63.33,Medium,SYNTHETIC_ML
25,University Area,University Area,Educational Area,20.945622,77.768516,Thursday,18,29.45,78.67,53.15,40.45,71.88,44.81,Medium,SYNTHETIC_ML
26,Bus Stand Area,Central Amravati,Transport Hub,20.932762,77.750947,Thursday,21,60.86,49.48,88.5,86.68,36.33,68.63,High,SYNTHETIC_ML
27,Railway Station Area,Amravati,Transport Hub,20.929193,77.756768,Friday,8,53.28,52.08,100.0,100.0,45.78,64.69,Medium,SYNTHETIC_ML
28,Shivaji Nagar,Shivaji Nagar,Residential Area,20.936318,77.758162,Friday,13,35.87,66.58,61.5,55.7,64.06,44.2,Medium,SYNTHETIC_ML
29,Panchwati Square,Panchwati,Junction,20.918643,77.752304,Friday,18,41.05,59.04,100.0,93.88,47.29,64.99,Medium,SYNTHETIC_ML
30,Morshi Road,Morshi Road,Main Road,20.948658,77.780965,Friday,21,47.54,51.73,60.85,90.45,65.34,60.7,Medium,SYNTHETIC_ML
31,Rajapeth Area,Rajapeth,Market Area,20.928927,77.750735,Saturday,10,52.24,59.97,81.75,83.77,53.44,50.76,Medium,SYNTHETIC_ML
32,Gadge Nagar Area,Gadge Nagar,Residential Area,20.940274,77.764508,Saturday,15,26.47,64.73,55.38,60.07,52.04,43.26,Medium,SYNTHETIC_ML
33,Camp Area,Camp,Commercial Area,20.927815,77.75372,Saturday,19,58.91,56.08,91.46,80.72,45.82,73.27,High,SYNTHETIC_ML
